lemma_negativ;lemma_positiv
abbau;adaequat
abbauen;adaequate
abbauend;adaequatem
abbauender;adaequater
abberufen;alleinig
abberufend;alleinige
abberufendem;alleiniger
abberufenden;allianz
abberufender;anerkennen
abberufene;anerkennung
abberufener;anfuehren
abberuft;anfuehrend
abbrechen;anfuehrenden
abbrechend;anfuehrender
abbrechendem;angenehm
abbrechender;angenehmem
abbremsen;angesehen
abbremsend;angesehenem
abbremsenden;ankurbeln
abbremsung;anpassungsfaehigkeit
abbruch;ansehen
abbruech;ansprechend
abdanken;antreiben
abdankend;attraktiv
abdankendem;attraktivitaet
abdankender;aufbauend
abdankt;aufbauender
abdankung;aufbessern
abdankungen;aufbessernd
aberkannt;aufbessernde
aberkanntem;aufbesserndem
aberkannten;aufgeschlossen
aberkannter;aufgeschlossenem
aberkanntes;aufnahmefaehig
aberkennen;aufnahmefaehigen
aberkennend;aufnahmefaehiges
aberkennendem;aufregend
aberkennenden;aufregung
aberkennender;aufschlussreich
aberkennendes;aufschwuenge
aberkennung;aufschwung
abfuhr;aufwerten
abfuhren;aufwertung
abgebaun;aufwertungen
abgebaut;ausgepraegen
abgebauter;ausgepraegn
abgebremst;ausgepraegt
abgebremste;ausgepraegter
abgebremster;ausgepraegtes
abgebrochen;ausgezeichnet
abgedanken;ausgiebig
abgedankt;aussagekraeftig
abgedankter;aussagekraeftigen
abgekehrt;aussagekraeftiger
abgekehrtem;aussagekraeftiges
abgekehrter;ausschliesslichkeit
abgelehnen;aussergewoehnlich
abgelehnn;aussergewoehnlichen
abgelehnt;ausserordentlich
abgelehnter;ausstechend
abgelenkt;ausstechenden
abgelenkter;ausstechender
abgelenktes;ausstechendes
abgeneigen;auszeichnen
abgeneigt;auszeichnung
abgeneigtem;bahnbrechend
abgeneigter;bahnbrechendem
abgeneigtes;bedeutend
abgerissen;bedeutsam
abgerissenem;bedeutsamem
abgerissenes;beehrend
abgesagen;beehrendem
abgesagt;beehrender
abgesagter;beehrendes
abgeschaffen;beeindrucken
abgeschaffn;beeindruckend
abgeschafftem;beeindruckt
abgeschaffter;beeindrucktes
abgeschafftes;befaehig
abgeschrecken;befaehigen
abgeschreckt;befaehigend
abgeschreckten;befaehigendem
abgeschreckter;befaehigenden
abgeschrecktes;befaehigender
abgeschwaecht;befriedigen
abgeschwaechtem;befriedigend
abgeschwaechten;befriedigt
abgeschwaechter;befriedigter
abgestuerzt;begabt
abgestuerztes;begeisteren
abgestufen;begeistern
abgestuft;begeisternd
abgestufter;begeisterndem
abgetrennt;begeistert
abgetreten;begeisterung
abgewerten;beglueckwuenschend
abgewertet;beglueckwuenschendem
abgewertetem;beglueckwuenschenden
abgewerteter;beglueckwuenschender
abgewertetes;beglueckwuenscht
abgewichen;beglueckwuenschte
abgewichener;beglueckwuenschter
abgewichenes;beguenstigen
abgewickelen;beguenstigend
abgewickelt;beguenstigendem
abgewickelten;beguenstigender
abgewickelter;beguenstigendes
abgewiesen;beguenstigt
abgewiesenem;beguenstigtem
abgewiesenen;beguenstigten
abgewiesenes;beguenstigter
abgeworben;beherzen
abgeworbene;beherzt
abgeworbener;behilflich
abgeworbenes;behilflichen
abgezogen;behilflicher
abgezogenem;beispielhafn
abgezogener;beispielhaft
abgezogenes;beispiellos
abgruendig;beispiellosen
abgruendigen;beispielloses
abhaengigkeit;bejubeln
abkehren;bejubelt
ablehnen;bejubeltem
ablehnend;bejubelter
ablehnendem;bejuble
ablehnung;bejublen
ablehnunge;belieben
ablenken;beliebt
ablenkend;beliebtem
ablenkendem;beliebtheit
ablenkung;belohnen
abneigung;belohnend
abnorm;belohnendem
abnormal;belohnenden
abnormale;belohnendes
abnormalem;belohnn
abnormaler;belohnt
abreissen;belohnter
abreissend;belohnung
abreissende;bemerkenswert
abreissendem;bereichernd
abreissenden;besonderheit
abreisst;besserem
abreißen;besseres
abriss;bessern
abrisse;best
abrupt;bestaendig
abruptheit;bestaendigen
absage;bestaendiger
absagen;bestaendigkeit
absagend;bestaerke
absagendem;bestaerken
absatzrueckgang;bestaerkend
abschaffen;bestaerkendem
abschaffend;bestaerkenden
abschaffendem;bestaerkender
abschaffendes;bestaerkt
abschalten;bestaerktem
abschaltend;bestaerkten
abschaltendem;bestaerkter
abschaltenden;bestechend
abschaltung;bestechende
abschaltunge;bestechendem
abschrecken;bestes
abschreckend;betraechtlich
abschreckendem;betraechtlicher
abschreckung;bevorteilen
abschreckungen;bevorteiln
abschwaechen;bevorteilt
abschwaechend;bevorteilte
abschwaechendem;bevorteiltem
abschwaechenden;bevorteilter
abschwaechender;bevorzugen
abschwueng;bevorzugt
abschwung;bevorzugten
absteigend;bevorzugtes
abstossen;bewanderen
abstossend;bewandern
abstossende;bewandert
abstossendem;bewandertem
abstossender;bewanderter
abstreiten;bezeichnend
abstreitend;bezeichnendem
abstreitendem;blueh
abstufend;bluehen
abstufenden;bluehend
abstufender;bluehende
abstufung;bluehendem
abstufunge;bluehenden
abtraeglich;bonifizier
abtraeglichen;bonifiziere
abtraegliches;bonifizieren
abtrennen;bonifiziern
abtreten;bonifiziert
abtretend;bonifizierte
abtretendem;bonifizierter
abtretender;boom
abtretendes;boome
abtretung;boomen
abtretunge;boomend
abtritt;boomendem
abtruennig;brillant
abtruennigem;brillante
abtruenniger;brillantes
abtruennigkeit;buendnis
abwaert;buendnisse
abwaertswend;charakteristisch
abwaertswende;dauerhaft
abwehrend;dienlich
abwehrendem;durchbruch
abwehrender;durchbrueche
abweichen;dynamisch
abweichend;ebnen
abweichler;effektiv
abweichung;effizient
abweisen;effizienz
abweisend;ehrbar
abweisendem;ehrbare
abweisung;ehrbarem
abwendung;ehre
abwerben;ehren
abwerten;ehrend
abwertend;ehrendem
abwertendem;ehrenhaft
abwertungen;ehrenhaftem
abwesenhein;ehrenwert
abwesenheit;ehrenwertem
abwichen;eifer
abwickeln;eifrig
abwickelnd;eindrucksvoll
abwickelndem;eindrucksvoller
abwickelnder;einfallsreich
abwickelndes;einfallsreichem
abwickelung;einfallsreichtum
abwickler;einflussreich
abwicklungen;eingebung
abziehen;einhalten
achtlos;einkuenfen
achtlose;einkunft
achtlosem;einnahme
achtlosen;einnehmend
achtloser;einnehmendem
achtloses;einpraegend
achtlosigkeit;einpraegende
achtung;einpraegendem
aengste;einpraegender
aergernis;einsatzfreudig
aergernisse;einsatzfreudigen
affaer;eintraeglich
affaere;eintraegliche
ahnungslos;einwandfrei
ahnungslosem;einwandfreie
ahnungsloses;einwandfreiem
akut;einwandfreies
alarmieren;einzigartig
alarmierend;engagieren
alarmierendem;engagiert
alarmiert;enorm
alarmierter;enthusiasmus
alarmiertes;enthusiastisch
albern;entlohne
albernem;entlohnen
altersschwach;entlohnn
altersschwacher;entlohnt
altmodisch;entlohntes
amtsmissbrauch;entschlossenheit
andauern;entzueckend
andauernd;entzueckende
androhen;entzueckendem
androhend;entzueckender
androhende;erfanden
anfaellig;erfinden
anfaelligkeit;erfindend
anfechten;erfindende
anfechtend;erfindendem
anfechtende;erfindendes
anfechtender;erfinder
anfechtendes;erfinderin
angeblich;erfinderinn
angedaueren;erfinderisch
angedauert;erfindung
angedauertem;erfindungsgabe
angedroht;erfolg
angedrohtem;erfolgen
angedrohter;erfolgreich
angefechten;erfreue
angefechtet;erfreuen
angefechtetem;erfreuend
angefechteter;erfreulich
angegriffen;erfreut
angegriffenem;erfreutem
angehalten;erhoffen
angehaltener;erhofft
angehaltenes;erhofftem
angeklagen;erhofftes
angeklagt;erkenntnisreich
angeklagtem;erkenntnisreicher
angeklagter;erlangen
angeklagtes;erlangend
angespannt;erlangende
angestaubt;erlangendem
angestaubter;erlangn
angestaubtes;erlangt
angezweifeln;erlangtem
angezweifelt;ermoeglich
angezweifelten;ermoeglichend
angezweifelter;ermoeglichende
angezweifeltes;ermoeglichenden
angreifbar;ermoeglicht
angreifbarem;ermoeglichte
angreifbaren;ermoeglichter
angreifen;ermutigen
angreifend;ermutigend
angreifendem;ermutigendem
angreifer;ermutigt
angriff;ermutigtem
angst;ermutigter
anhalten;ermutigung
anhaltend;erreichen
anklage;erreichend
anklagen;erreicht
anklagend;erringe
anklagendem;erringen
anklagender;erringend
anklageschrift;erringende
annulliere;erringendem
annullieren;erringendes
annullierend;errungen
annullierendem;errungenem
annullierender;errungener
annullierendes;errungenschaft
annulliern;erstarken
annulliert;erstklassig
annullierter;erstrebenswert
annullierung;ertrag
anomal;erwuenscht
anomale;erwuenschte
anomaler;erwuenschter
anomales;erwuenschtes
anomali;erzielen
anomalie;erzielend
anormal;erzielenden
anormaler;erzielt
anruechig;erzielung
anschuldigung;exemplarisch
anspannung;exklusiv
anspruech;exklusivem
anstoessig;exklusivitaet
anstoessige;exzellent
anstoessiger;exzellenz
anstoss;faehig
anstrengend;faehiger
anstrengenden;faehiges
anzweifeln;fantastisch
anzweifelnd;favorisieren
anzweifelndem;favorit
anzweifelnden;fehlerfrei
anzweifelnder;fehlerfreiem
appell;feiern
arbeitsausfall;fertigkeit
arbeitslos;festig
arbeitslose;festigen
arbeitslosem;festigend
arbeitsloses;festigendem
arbeitslosigkeit;festigenden
arbeitsniederlegung;festigender
arbeitsunfaehig;fleissig
arbeitsunfaehigen;flexibilitaet
