expansive_terme;restriktive_terme
abbau_steuer;abbau_budgetdefizit
abbau_steuerlast;abbau_defizit
abgabe_senken;abbau_haushaltsdefizit
abgabenlast_beschraenken;abbau_schuldenquote
abgabenlast_senken;abbau_staatsverschuldung
abgabenlast_vermindern;abbau_steuersubvention
abschaffung_steuer;abbau_verschuldung
abzug_steuerschuld;abgabe_einfuehren
anreizmodelle_schaffen;abgabe_erhoehen
anstieg_budgetdefizit;abgabe_fordern
anstieg_defizit;abgabenlast_erhoehen
anstieg_haushaltsdefizit;aufforderung_sparen
anstieg_schuldenquote;ausgabe_kuerzen
anstieg_staatsausgabe;ausgabe_senken
anstieg_staatsverschuldung;ausgabendisziplin
arbeitsbeschaffungsmassnahme;ausgabenkuerzung
arbeitskosten_senken;beitragserhoehung
arbeitsplatz_schaffen;belastung_erhoehen
aufbau_budgetdefizit;besteuerung_erhoehen
aufbau_defizit;boersenumsatzsteuer_einfuehren
aufbau_haushaltsdefizit;budgetdefizit_abbauen
aufbau_schuldenquote;budgetdisziplin
aufnehmen_schuld;crowding_out
ausbau_budgetdefizit;defizit_abbauen
ausbau_defizit;defizitabbau
ausbau_haushaltsdefizit;defizitgrenze
ausbau_schuldenquote;einfuehren_quellensteuer
ausbau_sozialhilfe;einfuehren_reichensteuer
ausbau_staatsausgabe;einfuehren_steuer
ausbau_staatsverschuldung;einfuehrung_quellensteuer
ausbau_verschuldung;einfuehrung_reichensteuer
ausgabe_defizit;einfuehrung_steuer
ausgabe_erhoehen;einfuhrumsatzsteuer_erhoehen
ausgabenerhoehung;einhalten_schuldenbremse
aussetzen_schuldenbremse;einhalten_schuldengrenze
aussetzen_schuldengrenze;einhalten_schwarz
aussetzen_schwarz;einnahme_erhoehen
balastung_senken;einsparung
beitragsentlastung;erbschaftsteuer_erhoehen
beitragssenkung;erhoehen_abgabenlast
belastung_vermindern;erhoehen_belastung
beschaeftigungsprogramm;erhoehen_einnahme
budgetdefizit_ausbauen;erhoehen_erbschaftsteuer
budgetdefizit_erhoehen;erhoehen_kosten
crowding;erhoehen_mehrwertsteuer
deficit_spending;erhoehen_quellensteuer
defizit_ausbauen;erhoehen_reichensteuer
defizit_erhoehen;erhoehen_reichensteuersatz
defizit_erwirtschaften;erhoehen_spitzensteuersatz
