Jahr,Monat,BPW Score
2000,1,-0.021334646926869014
2000,2,-0.017484583746015702
2000,3,-0.018947595678501565
2000,4,-0.016710992595099897
2000,5,-0.017765437896183005
2000,6,-0.021559652820722794
2000,7,-0.02075217706824759
2000,8,-0.008660899650230402
2000,9,-0.023436725266729068
2000,10,-0.027815057744023854
2000,11,-0.019937006260041076
2000,12,-0.034042162807922424
2001,1,-0.01971609711052115
2001,2,-0.02594313165507375
2001,3,-0.02392159263460278
2001,4,-0.024123660899909635
2001,5,-0.01913719492486004
2001,6,-0.028286094173018462
2001,7,-0.02492095521167213
2001,8,-0.029833282057226757
2001,9,-0.04184197136250286
2001,10,-0.04265449689525257
2001,11,-0.03254282374432803
2001,12,-0.025250560141468818
2002,1,-0.03783953639308761
2002,2,-0.03554399774511058
2002,3,-0.029689665116159277
2002,4,-0.02244910112955637
2002,5,-0.02201863892862494
2002,6,-0.03329669297828159
2002,7,-0.023335630319318137
2002,8,-0.04708479840214465
2002,9,-0.038776823634833764
2002,10,-0.03390192709813707
2002,11,-0.039341910710947114
2002,12,-0.032039124110378625
2003,1,-0.03482871923023619
2003,2,-0.03063901918860978
2003,3,-0.025996766017232484
2003,4,-0.03795640630185293
2003,5,-0.04048005311079379
2003,6,-0.03266768323981509
2003,7,-0.03380899008946733
2003,8,-0.026472665865223056
2003,9,-0.02514094921831981
2003,10,-0.028923810691597884
2003,11,-0.03728250800789695
2003,12,-0.027441384257655382
2004,1,-0.02187546304042539
2004,2,-0.02465413789693857
2004,3,-0.028454718657635346
2004,4,-0.030998585701235672
2004,5,-0.037995761287820444
2004,6,-0.024023359853428346
2004,7,-0.03647524555358791
2004,8,-0.025812453023280398
2004,9,-0.0237511898634215
2004,10,-0.03383519252773735
2004,11,-0.029483606068366076
2004,12,-0.030348213182093443
2005,1,-0.027147028902095048
2005,2,-0.024319063438679296
2005,3,-0.018994274882902944
2005,4,-0.019206580084915843
2005,5,-0.027606374482834834
2005,6,-0.027612607995911177
2005,7,-0.023232811320884235
2005,8,-0.014761816240025896
2005,9,-0.019151430275930078
2005,10,-0.014538073412548189
2005,11,-0.017347670711573452
2005,12,-0.023632526149594903
2006,1,-0.020711651555201157
2006,2,-0.020395552643170674
2006,3,-0.020865704243535333
2006,4,-0.008856180374786925
2006,5,-0.025008837738310082
2006,6,-0.022769244660554397
2006,7,-0.011155230100326985
2006,8,-0.009926616255815326
2006,9,-0.022979691593798705
2006,10,-0.016514828493987038
2006,11,-0.013061958264555694
2006,12,-0.0009976013496157822
2007,1,-0.013463574549982277
2007,2,-0.02412069979330394
2007,3,-0.023361741456980688
2007,4,-0.01925367719770294
2007,5,-0.004766301442319105
2007,6,-0.024462191584599394
2007,7,-0.013788172463677804
2007,8,-0.0178419209775987
2007,9,-0.018415805765014674
2007,10,-0.012851656401596802
2007,11,-0.01893668048995793
2007,12,-0.016896478894304116
2008,1,-0.018811331963470065
2008,2,-0.027199470966969105
2008,3,-0.031096651019900053
2008,4,-0.02905426645589662
2008,5,-0.018947507767477847
2008,6,-0.019918888156838243
2008,7,-0.024703149320282513
2008,8,-0.029469932795434178
2008,9,-0.02239072996404802
2008,10,-0.030771010137571067
2008,11,-0.03263281484104868
2008,12,-0.033800010612507536
2009,1,-0.027985459179799686
2009,2,-0.029830016651567016
2009,3,-0.03049299124410979
2009,4,-0.02788733666778169
2009,5,-0.03167849969065929
2009,6,-0.02713023159145361
2009,7,-0.0272045349178942
2009,8,-0.025426751819619564
2009,9,-0.027699268984874004
2009,10,-0.027333645031840374
2009,11,-0.02782555552834107
2009,12,-0.026190082388986867
2010,1,-0.03532145428968792
2010,2,-0.0291585670312965
2010,3,-0.026178996595662474
2010,4,-0.029506474612211894
2010,5,-0.031290233536173336
2010,6,-0.02997049624318843
2010,7,-0.024577532833675336
2010,8,-0.01589717518449298
2010,9,-0.018762869806492596
2010,10,-0.025512355773054503
2010,11,-0.01774024169129082
2010,12,-0.014998817182854732
2011,1,-0.0240899222098189
2011,2,-0.019728288419514062
2011,3,-0.024640489197144875
2011,4,-0.021369243200889104
2011,5,-0.012565783512953073
2011,6,-0.013503576784865256
2011,7,-0.020283386297760032
2011,8,-0.025938298614277353
2011,9,-0.025709362706262874
2011,10,-0.024966020933154382
2011,11,-0.026161656988188533
2011,12,-0.024068801547317317
2012,1,-0.02612807875126206
2012,2,-0.022632193224510787
2012,3,-0.012405554775234437
2012,4,-0.018462786693611836
2012,5,-0.023191593805164074
2012,6,-0.028295256362566003
2012,7,-0.02238486831232171
2012,8,-0.021649180110805428
2012,9,-0.010280456697192547
2012,10,-0.021007334717142504
2012,11,-0.027087083934587024
2012,12,-0.026813881316231195
2013,1,-0.02053529307362164
2013,2,-0.025994672906116897
2013,3,-0.02224570724168907
2013,4,-0.026068556231146865
2013,5,-0.0221281660512161
2013,6,-0.015496322490365292
2013,7,-0.02700651416746992
2013,8,-0.02252986688452091
2013,9,-0.01857142125780241
2013,10,-0.012546552853546201
2013,11,-0.022780637760464
2013,12,-0.00929862134772489
2014,1,-0.014538667553686479
2014,2,-0.009615717899689876
2014,3,-0.015154548335847354
2014,4,-0.013274515905076854
2014,5,-0.013373625475235379
2014,6,-0.017968113597739865
2014,7,-0.012909566347174255
2014,8,-0.013650837170893269
2014,9,-0.010220861329301301
2014,10,-0.029766857480733995
2014,11,-0.026563223142687793
2014,12,-0.024473217068096232
2015,1,-0.0116701654095951
2015,2,-0.0061147712097222185
2015,3,-0.010577204313014496
2015,4,0.0018355630722856327
2015,5,0.0031581830663934027
2015,6,-0.009387249165819395
2015,7,-0.027869926130544807
2015,8,-0.02974585742436821
2015,9,-0.012141612492051736
2015,10,-0.01702968246247359
2015,11,-0.02437103318183213
2015,12,-0.018692418639859466
2016,1,-0.01798109473783689
2016,2,-0.03089460391347393
2016,3,-0.03736886214282477
2016,4,-0.016969069018431898
2016,5,-0.02340943003781364
2016,6,-0.021102351662766118
2016,7,-0.022158984245293865
2016,8,8.059737347577823e-05
2016,9,-0.017320150231507292
2016,10,-0.023986195637408437
2016,11,-0.017141388411933665
2016,12,-0.009414454613962299
2017,1,-0.01316498643839374
2017,2,-0.015547278210552578
2017,3,-0.010722678724144058
2017,4,-0.009084927849466943
2017,5,-0.00020302096869463418
2017,6,-0.02036289660260025
2017,7,-0.018631880904885104
2017,8,-0.004608371987524138
2017,9,-0.014380229567557858
2017,10,-0.015839252231507006
2017,11,-0.019930679047389897
2017,12,-0.006489722219936802
2018,1,-0.006938488254263025
2018,2,-0.010481621965679153
2018,3,-0.004568195456711336
2018,4,-0.012628926024344685
2018,5,-0.030301504802576113
2018,6,-0.01960901202782893
2018,7,-0.013222301750562698
2018,8,-0.009503051321352408
2018,9,0.0027442959590970044
2018,10,-0.012905196536044359
2018,11,-0.012415982523392955
2018,12,-0.01703794755373347
2019,1,-0.01755655277794065
2019,2,-0.02282910720244695
2019,3,-0.028534739129403297
2019,4,-0.021441272785334097
2019,5,-0.024628458597622766
2019,6,-0.02132702047859724
2019,7,-0.020559263133857517
2019,8,-0.035865777425511385
2019,9,-0.02557791910040759
2019,10,-0.02566475662179608
2019,11,-0.02389100495066266
2019,12,-0.016730305587765493
2020,1,-0.004221729472956812
2020,2,-0.022110988217050216
2020,3,-0.03964517306465339
2020,4,-0.03435044149778296
2020,5,-0.023585720107303764
2020,6,-0.024230438327940824
2020,7,-0.02703865187702322
2020,8,-0.02539270959126789
2020,9,-0.019387700502062472
2020,10,-0.018369542717933673
2020,11,-0.02649636146515281
2020,12,-0.02635900868898119
2021,1,-0.024679800235810796
2021,2,-0.021743339001636525
2021,3,-0.015571371285649345
2021,4,-0.025062153247163817
2021,5,-0.011042254852129823
2021,6,-0.022943329054238
2021,7,-0.02071300433066054
2021,8,-0.011084105935432185
2021,9,-0.010040220258976279
2021,10,-0.025021645503335486
2021,11,-0.01198645600692398
2021,12,-0.013590108974097802
2024,11,-0.01949317738791423
