Jahr,Quartal,BPW Score
2000,1,-0.019255091645580775
2000,2,-0.01874331098547747
2000,3,-0.017591118443140184
2000,4,-0.02609419936251169
2001,1,-0.023037539691942187
2001,2,-0.023857301761775963
2001,3,-0.03207349939031094
2001,4,-0.03625677483774734
2002,1,-0.03495880338424087
2002,2,-0.02651505947090816
2002,3,-0.03773690770063663
2002,4,-0.035592645392736134
2003,1,-0.03177397794517439
2003,2,-0.03712585162266321
2003,3,-0.029509322556460597
2003,4,-0.031492085136550496
2004,1,-0.024966249361461492
2004,2,-0.03254839093644586
2004,3,-0.028303121741313893
2004,4,-0.030982608149712335
2005,1,-0.023142295914320418
2005,2,-0.025156390051263442
2005,3,-0.01916519185667441
2005,4,-0.018000326649413603
2006,1,-0.020655225610424426
2006,2,-0.020368624160845086
2006,3,-0.014116698619274613
2006,4,-0.011653116909491749
2007,1,-0.020252458224277937
2007,2,-0.015169482659448874
2007,3,-0.016492302241026872
2007,4,-0.016618115103941542
2008,1,-0.02484657887224328
2008,2,-0.02224594478026653
2008,3,-0.025195824633760026
2008,4,-0.03244455211914001
2009,1,-0.02925813459247483
2009,2,-0.028879570672161563
2009,3,-0.027027235436519404
2009,4,-0.027168595333430745
2010,1,-0.02986892059351243
2010,2,-0.030144105887089365
2010,3,-0.02002331362897043
2010,4,-0.01938136844909442
2011,1,-0.023175058513500817
2011,2,-0.015861755676074247
2011,3,-0.024019140623735863
2011,4,-0.025113351972558234
2012,1,-0.019586020523532553
2012,2,-0.023785628219638075
2012,3,-0.018072910407242838
2012,4,-0.024883711667056694
2013,1,-0.02301908406895068
2013,2,-0.02198421240223285
2013,3,-0.02305571482019691
2013,4,-0.015454121518007803
2014,1,-0.013405300247120768
2014,2,-0.015021945901346707
2014,3,-0.011845682865206762
2014,4,-0.027253955293003083
2015,1,-0.009744943935315217
2015,2,-0.0015045804028076277
2015,3,-0.02327457445776029
2015,4,-0.01997749971652724
2016,1,-0.02942224561411032
2016,2,-0.021097691981954957
2016,3,-0.012929543455763255
2016,4,-0.016812631383348382
2017,1,-0.013333754624833015
2017,2,-0.009889325226503307
2017,3,-0.012736667919501808
2017,4,-0.01414308991031755
2018,1,-0.006740518117784188
2018,2,-0.021536111093401384
2018,3,-0.009060668140238854
2018,4,-0.014513905102654306
2019,1,-0.022937641984405045
2019,2,-0.022338382929529818
2019,3,-0.02921776122086705
2019,4,-0.021921450164603076
2020,1,-0.022086059932047878
2020,2,-0.02647380250413851
2020,3,-0.023459792634580343
2020,4,-0.023275284362446125
2021,1,-0.021241963102758193
2021,2,-0.019499358484260338
2021,3,-0.012796145588282426
2021,4,-0.01767346033825137
2024,4,-0.01949317738791423
