Jahr,Monat,Sentiment Score
2000,1,0.003336295259609878
2000,2,-0.0005670075506011411
2000,3,0.003606489285791681
2000,4,-0.0001350006713475664
2000,5,0.00399099812624059
2000,6,0.0003872734526360136
2000,7,0.0060843450121060355
2000,8,0.002236725881490204
2000,9,0.001691257713487149
2000,10,0.00015397808597556077
2000,11,-0.0024162443374406437
2000,12,-0.0013086186708351102
2001,1,0.0027373504055620136
2001,2,0.005235487265196895
2001,3,-0.001674512744667133
2001,4,0.000900682934720073
2001,5,0.005745359023982719
2001,6,0.006007978850255138
2001,7,-0.0016906167765473868
2001,8,0.001655247764838272
2001,9,-0.0029943996265986775
2001,10,0.004087607332628116
2001,11,0.0008988127441349566
2001,12,0.0007049526525202334
2002,1,0.0007345604530879532
2002,2,-0.008194661362423212
2002,3,-0.0006043951394523189
2002,4,-0.004326000383881394
2002,5,-0.0021030890219701903
2002,6,-0.0033219329389522906
2002,7,-0.0013158371032832305
2002,8,-0.0008390724432164827
2002,9,-0.0039516058747973825
2002,10,-0.006786418526828182
2002,11,-0.006660427593925423
2002,12,-0.003871113532403277
2003,1,0.0004914000667108054
2003,2,-7.411873609612208e-05
2003,3,0.0014428087804554811
2003,4,-0.003197913122186592
2003,5,-0.006125607570933981
2003,6,0.005173755760269711
2003,7,0.00797919704978223
2003,8,0.0010576666930542913
2003,9,0.0017945910905989941
2003,10,0.005156670910877398
2003,11,-0.000473581709564881
2003,12,0.006528472185283269
2004,1,0.005047617736743662
2004,2,-0.0004598883618119993
2004,3,-0.0007931462015142803
2004,4,-0.0009970715486938434
2004,5,-0.001389879795350557
2004,6,-0.0005569735420150956
2004,7,-0.00562866381111601
2004,8,0.0018868146147893166
2004,9,-0.00017601932839689764
2004,10,-0.004761337599639924
2004,11,-0.002198049980955885
2004,12,-0.0009902905079979642
2005,1,-6.676112238656814e-05
2005,2,0.003552844643064502
2005,3,0.005085240258068977
2005,4,0.004009513117060372
2005,5,0.0021473186510305407
2005,6,-0.0003087356181033075
2005,7,-0.006706566191744414
2005,8,-0.0003340969837205346
2005,9,-0.0027945822916572846
2005,10,-0.006916285881649103
2005,11,-0.008821879574009133
2005,12,-0.005343783002255854
2006,1,-0.0008320178100459587
2006,2,-0.008597693936810404
2006,3,-0.007411283450140799
2006,4,-0.0076286240635810645
2006,5,-0.0066620346900258705
2006,6,-0.0011463450287858268
2006,7,0.0005257120821548294
2006,8,-0.004366030084117075
2006,9,0.0005208332151339744
2006,10,-0.0015449135828825144
2006,11,-0.00035980249844789455
2006,12,-0.006613401450657725
2007,1,-0.008339021977884125
2007,2,0.0014420993056169311
2007,3,0.0007845629212379985
2007,4,0.0012904817882149807
2007,5,-0.0007233731601375085
2007,6,0.0024786151864840188
2007,7,0.0006158919931123734
2007,8,0.005934954107844175
2007,9,0.0011595102116879338
2007,10,0.0003435852905145655
2007,11,-0.002015838002508241
2007,12,0.002986585652228559
2008,1,0.004413272971605159
2008,2,0.004423706722369886
2008,3,0.004009303812274079
2008,4,0.0036684549568934363
2008,5,0.01154954206974287
2008,6,0.004672680698308311
2008,7,0.0060628819294118634
2008,8,0.011612054889691886
2008,9,0.002503758173615555
2008,10,0.00762542628283894
2008,11,0.010270771900851804
2008,12,0.015851036881031576
2009,1,0.0170650924670425
2009,2,0.010426948234704731
2009,3,0.007124429280366025
2009,4,0.01234562518858833
2009,5,0.0088553438472556
2009,6,0.009908541004899653
2009,7,0.004558629427254959
2009,8,0.00465401030714319
2009,9,0.006333992294896864
2009,10,0.010701339120621212
2009,11,0.011689983164041262
2009,12,0.009428802237827189
2010,1,0.0136827070666952
2010,2,0.0063249212694746785
2010,3,0.0060039573803630526
