Jahr,Monat,BPW Score
2000,1,-0.016523708393624867
2000,2,-0.014595999193401432
2000,3,-0.023484523055543164
2000,4,-0.015183032908583152
2000,5,-0.015115789178916901
2000,6,-0.015329723254965484
2000,7,-0.018491884747071148
2000,9,-0.016844313308276838
2000,10,-0.017993809593319122
2000,11,-0.017140336736454643
2000,12,-0.014798833767274136
2001,1,-0.016690472815338978
2001,2,-0.02731130435869388
2001,3,-0.021025332025733246
2001,4,-0.02544325390049524
2001,5,-0.016798984888019317
2001,6,-0.017811933387309856
2001,7,-0.017754895042538833
2001,8,-0.01737854573802245
2001,9,-0.021544661785298503
2001,10,-0.023755815482497517
2001,11,-0.020625445800922335
2001,12,-0.016083679751993842
2002,1,-0.01826713739606826
2002,2,-0.018479787926107504
2002,3,-0.014330400845541163
2002,4,-0.01439418833171764
2002,5,-0.011630546422379177
2002,6,-0.013252282374478848
2002,7,-0.015887685302577934
2002,8,-0.028387840145045255
2002,9,-0.03019963316405161
2002,10,-0.02009494026865538
2002,11,-0.02248833428773305
2002,12,-0.01869173728066011
2003,1,-0.016818300990162703
2003,2,-0.027644243739804383
2003,3,-0.020493030119650407
2003,4,-0.02242642373855117
2003,5,-0.024440905046124374
2003,6,-0.019110959958649424
2003,7,-0.017304867039760426
2003,9,-0.021736996581809036
2003,10,-0.024332415068838265
2003,11,-0.023978416127231828
2003,12,-0.02027279525541681
2004,1,-0.0148034635158
2004,2,-0.01249188232921047
2004,3,-0.020454246672696057
2004,4,-0.018991028172234272
2004,5,-0.022802831326504243
2004,6,-0.023496024652333903
2004,7,-0.013448978088142027
2004,9,-0.02415628741017853
2004,10,-0.02464807463759597
2004,11,-0.019293227620915714
2004,12,-0.013708912516982008
2005,1,-0.0165150838483718
2005,2,-0.020244702663417262
2005,3,-0.023465584399507713
2005,4,-0.01836391141597907
2005,5,-0.022223234572354558
2005,6,-0.026002103378938365
2005,7,-0.030910909732846888
2005,9,-0.010772517649115906
2005,11,-0.009183884534963466
2005,12,-0.017956901784986573
2006,1,-0.014442261720625712
2006,2,-0.0059981044207088
2006,3,-0.01035061043334198
2006,4,-0.020908804658675794
2006,5,-0.017338602529887854
2006,6,-0.015638770576371686
2006,9,-0.010882212105053714
2006,10,-0.021245421599767302
2006,11,-0.007341966257021578
2006,12,-0.011888051535150844
2007,1,-0.006506775521447811
2007,2,-0.007591836547664748
2007,3,-0.017493245412928366
2007,4,-0.0003498177390408245
2007,5,-0.0036023041241702693
2007,6,-0.002633067282956841
2007,7,-0.0003935049861849642
2007,9,-0.00958753387854845
2007,10,-0.005492585069986247
2007,11,-0.007762316335789338
2007,12,-0.02901758224496831
2008,1,-0.010233508992690163
2008,2,-0.00819398745664889
2008,3,-0.018688708973620394
2008,4,-0.010915611689844743
2008,5,-0.009147698343824123
2008,6,-0.010213825764248532
2008,9,-0.00865446730361667
2008,10,-0.01675608952653778
2008,11,-0.017224519247851285
2008,12,-0.014883602278679997
2009,1,-0.020480486145323235
2009,2,-0.015119547609071509
2009,3,-0.019859521943531095
2009,4,-0.021082029970400037
2009,5,-0.027140136892402546
2009,6,-0.021472499457050702
2009,7,-0.02162709371858493
2009,11,-0.02211273486610887
2009,12,-0.018026302222039284
2010,1,-0.020094512259166968
2010,2,-0.017768505756687612
2010,3,-0.023962020957871224
2010,4,-0.022933235997183377
2010,5,-0.022333187151514174
2010,6,-0.025079108382996353
2010,7,-0.018364545119720813
2010,9,-0.015473068803346767
2010,10,-0.024026680140787203
2010,11,-0.013132430920130196
2010,12,-0.01564662719827517
2011,1,-0.016460759263168773
2011,2,-0.021688106325556962
2011,3,-0.012528146884644892
2011,4,-0.013500790388046132
2011,5,-0.004595804608075067
2011,6,-0.016453329230044427
2011,7,-0.0071325090599264835
2011,9,-0.015726089487892114
2011,10,-0.013516836462285232
2011,11,-0.017504915486623997
2011,12,-0.012136220676211678
2012,1,-0.005673374481351964
2012,2,-0.01718629557337863
2012,3,-0.016230467675682734
2012,4,-0.008011134688113675
2012,5,-0.02153799209518247
2012,6,-0.018568251120274652
2012,7,-0.025575146166393274
2012,9,-0.01393602846671677
2012,10,-0.015061962051325012
2012,11,-0.015916091391121292
2012,12,-0.008971885378150236
2013,1,-0.02181189099686228
2013,2,-0.01530054973781431
2013,3,-0.01978263306197142
2013,4,-0.019229206224687885
2013,5,-0.01480955190974116
2013,6,-0.0098773499839324
2013,9,-0.034763651419901176
2013,11,-0.020822865301615
2013,12,0.003741297783621561
2014,1,-0.004735645703295187
2014,2,-0.0037452795452772728
2014,3,-0.013278675041786123
2014,4,-0.0017664512940369383
2014,5,-0.011903154493613002
2014,6,-0.008356007903435322
2014,7,-0.01954408534036485
2014,9,-0.004862564940178192
2014,10,-0.004499503422298531
2014,11,-0.007752526752573255
2014,12,-0.011847621816399501
2015,1,-0.012326612223648099
2015,2,-0.011659392204474716
2015,3,-0.01112748476755813
2015,4,-0.005157820761567278
2015,5,-0.003325477392198037
2015,6,-0.014279429092204985
2015,7,-0.01881179213122878
2015,8,-0.021267536737985787
2015,9,-0.00948271594743673
2015,10,-0.016553136579033817
2015,11,-0.008829734158169112
2015,12,-0.008089753939848931
2016,1,-0.01863300947788949
2016,2,-0.01648973690609105
2016,3,-0.011251359641336707
2016,4,-0.006029282235593439
2016,5,-0.007702962221183377
2016,6,-0.015685965980090616
2016,7,-0.02450202573774896
2016,9,-0.0098679405760333
2016,10,-0.013210983632532754
2016,11,-0.003443965509448265
2016,12,-0.008179996849147272
2017,1,-0.008251958103486614
2017,2,-0.010574010044417303
2017,3,-0.0063729511052679775
2017,4,-0.0017335926625428094
2017,5,-0.013594220501238983
2017,6,-0.014316330578438978
2017,9,-0.007561551102814675
2017,11,-0.011064434964364623
2017,12,-0.01732557261203952
2018,1,0.004649299798274855
2018,2,-0.008109908333694595
2018,3,-0.011130269871356943
2018,4,-0.01810765709921127
2018,5,-0.008281373931116304
2018,6,-0.009881828225514238
2018,7,-0.00618436876976486
2018,9,-0.009173687589775329
2018,10,-0.009627514922559997
2018,11,-0.009372740279253399
2018,12,-0.01647317628826743
2019,1,-0.021933927713039033
2019,2,-0.014132401912515191
2019,3,-0.01905161478987146
2019,4,-0.013836077192130425
2019,5,-0.009109850916131828
2019,6,-0.012215793302833459
2019,9,-0.011806190365564911
2019,10,-0.014609381822175421
2019,11,-0.012993489614621928
2019,12,-0.013236942239448818
2020,1,-0.01333206477310831
2020,2,-0.011893419310606975
2020,3,-0.023249375589338445
2020,4,-0.02997183838396952
2020,5,-0.017722521958043313
2020,6,-0.01680801581823834
2020,7,-0.015755879729009867
2020,8,-0.021683465382398095
2020,9,-0.012468063466361173
2020,10,-0.016617379834775743
2020,11,-0.02099575876816841
2020,12,-0.01887000560632446
2021,1,-0.010180230010092044
2021,2,-0.024147834230368082
2021,3,-0.01293594851745942
2021,4,-0.01789176754204219
2021,5,-0.011310011788862049
2021,6,-0.014739684013254904
2021,8,-0.037142857142857144
2021,9,-0.018237633061978238
